epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,921.735,0.66194,0.43987,0.94449,0.85504,0.84912,0.85504,0.66202,0.85478,0.66475,1.01407,0.000297232,0.000297232,0.000297232
82,931.7,0.65721,0.43679,0.94846,0.83658,0.85938,0.85759,0.65976,0.81313,0.65865,1.00552,0.000283085,0.000283085,0.000283085
83,942.955,0.64541,0.42443,0.93653,0.86205,0.83267,0.85839,0.65236,0.85821,0.68558,1.02355,0.000268938,0.000268938,0.000268938
84,954.639,0.63914,0.43951,0.94368,0.86755,0.84723,0.85845,0.65472,0.89063,0.65368,1.02462,0.000254791,0.000254791,0.000254791
85,965.211,0.65071,0.42832,0.94118,0.85787,0.85851,0.85961,0.6645,0.85156,0.63712,1.02456,0.000240644,0.000240644,0.000240644
86,977.698,0.64557,0.42575,0.94906,0.85951,0.84734,0.84147,0.64779,0.86504,0.6717,1.0228,0.000226497,0.000226497,0.000226497
87,989.611,0.64546,0.42893,0.94192,0.85862,0.85188,0.84446,0.66104,0.80527,0.64142,1.0014,0.000212349,0.000212349,0.000212349
88,1001.3,0.6367,0.42912,0.9493,0.86559,0.8603,0.85538,0.66382,0.83293,0.61116,1.00333,0.000198202,0.000198202,0.000198202
89,1012.02,0.63881,0.40441,0.93992,0.84777,0.86575,0.84979,0.67137,0.76207,0.63331,0.99431,0.000184055,0.000184055,0.000184055
90,1024.05,0.62563,0.40659,0.93008,0.83983,0.86848,0.85458,0.66623,0.78947,0.63299,0.99608,0.000169908,0.000169908,0.000169908
91,1039.86,0.54588,0.36739,0.88489,0.85073,0.86102,0.85375,0.66543,0.80297,0.62769,1.00114,0.000155761,0.000155761,0.000155761
92,1052.15,0.53689,0.3601,0.88147,0.84486,0.86564,0.85024,0.66392,0.80385,0.64857,1.00604,0.000141614,0.000141614,0.000141614
93,1064.19,0.54699,0.36329,0.88376,0.85999,0.8525,0.85312,0.67208,0.79804,0.64315,1.00252,0.000127467,0.000127467,0.000127467
94,1074.4,0.53889,0.35901,0.88831,0.86271,0.84878,0.83472,0.64723,0.82075,0.66113,1.01158,0.00011332,0.00011332,0.00011332
95,1085.92,0.52412,0.36246,0.87682,0.86115,0.85416,0.84086,0.6511,0.81277,0.65073,1.00947,9.91726e-05,9.91726e-05,9.91726e-05
96,1098,0.53321,0.35539,0.87577,0.86547,0.85271,0.83617,0.65339,0.80871,0.66471,1.01117,8.50255e-05,8.50255e-05,8.50255e-05
97,1110.21,0.52364,0.35376,0.87585,0.86787,0.84803,0.82862,0.65062,0.8009,0.67384,1.01119,7.08784e-05,7.08784e-05,7.08784e-05
98,1122.91,0.52189,0.35307,0.87337,0.86685,0.85036,0.82732,0.63965,0.82498,0.6821,1.01862,5.67313e-05,5.67313e-05,5.67313e-05
